                       chr   start     end  length  tp1007 tp1012 tp1013 tp1014 tp1015     IT tp1335 pattern
Chr1:1                Chr1       1   10600   10600      NA     NA     NA     NA     NA 0.7225     NA     002
Chr1:10601            Chr1   10601   13500    2900      NA 0.6374     NA     NA 0.7062 0.7225     NA     046
Chr1:13501            Chr1   13501   14400     900      NA     NA     NA     NA 0.7062 0.7225     NA     006
Chr1:14401            Chr1   14401   16600    2200      NA     NA     NA     NA     NA 0.7225     NA     002
Chr1:16601            Chr1   16601   25200    8600      NA     NA 0.6361     NA     NA 0.7225     NA     022
Chr1:25201            Chr1   25201   67900   42700      NA     NA     NA     NA     NA     NA     NA     000
Chr1:67901            Chr1   67901   70700    2800      NA     NA     NA     NA     NA 0.5016     NA     002
Chr1:70701            Chr1   70701   80600    9900      NA     NA     NA     NA     NA     NA     NA     000
Chr1:80601            Chr1   80601   82300    1700      NA     NA     NA     NA     NA 0.2238     NA     002
Chr1:82301            Chr1   82301   90500    8200      NA     NA     NA     NA     NA     NA     NA     000
Chr1:90501            Chr1   90501   91800    1300      NA     NA     NA     NA     NA     NA 0.4885     001
Chr1:91801            Chr1   91801  106600   14800      NA     NA     NA     NA     NA     NA     NA     000
Chr1:106601           Chr1  106601  108600    2000      NA     NA 0.5555     NA     NA     NA     NA     020
Chr1:108601           Chr1  108601  536500  427900      NA     NA     NA     NA     NA     NA     NA     000
Chr1:536501           Chr1  536501  538600    2100      NA 0.6849     NA     NA     NA     NA     NA     040
Chr1:538601           Chr1  538601  538800     200      NA     NA     NA     NA     NA     NA     NA     000
Chr1:538801           Chr1  538801  543200    4400      NA     NA     NA     NA     NA 0.7045     NA     002
Chr1:543201           Chr1  543201 1222400  679200      NA     NA     NA     NA     NA     NA     NA     000
Chr1:1222401          Chr1 1222401 1222500     100      NA     NA     NA     NA     NA     NA 0.5995     001
Chr1:1222501          Chr1 1222501 1222600     100      NA     NA     NA     NA     NA 0.2488 0.5995     003
Chr1:1222601          Chr1 1222601 1224400    1800      NA     NA 0.3786     NA     NA 0.2488 0.5995     023
Chr1:1224401          Chr1 1224401 1224700     300      NA     NA 0.3786     NA     NA     NA 0.5995     021
Chr1:1224701          Chr1 1224701 1224900     200      NA     NA     NA     NA     NA     NA 0.5995     001
Chr1:1224901          Chr1 1224901 1865000  640100      NA     NA     NA     NA     NA     NA     NA     000
Chr1:1865001          Chr1 1865001 1865600     600      NA     NA 0.1110     NA     NA     NA     NA     020
Chr1:1865601          Chr1 1865601 2464000  598400      NA     NA     NA     NA     NA     NA     NA     000
Chr1:2464001          Chr1 2464001 2464100     100      NA 0.2835     NA     NA     NA     NA     NA     040
Chr1:2464101          Chr1 2464101 2464700     600 0.19909 0.2835     NA     NA     NA     NA     NA     140
Chr1:2464701          Chr1 2464701 2465000     300      NA 0.2835     NA     NA     NA     NA     NA     040
Chr1:2465001          Chr1 2465001 2521200   56200      NA     NA     NA     NA     NA     NA     NA     000
Chr1:2521201          Chr1 2521201 2525500    4300      NA     NA     NA     NA 0.5464     NA     NA     004
Chr1:2525501          Chr1 2525501 2545800   20300      NA     NA     NA     NA     NA     NA     NA     000
Chr1:2545801          Chr1 2545801 2551100    5300      NA     NA     NA     NA     NA 0.6535     NA     002
Chr1:2551101          Chr1 2551101 3042100  491000      NA     NA     NA     NA     NA     NA     NA     000
Chr1:3042101          Chr1 3042101 3042584     484 0.18878 0.2499     NA     NA 0.1877     NA 0.3136     145
Chr1:3042585          Chr1 3042585 3042600      16 0.18878 0.2499     NA     NA 0.1877     NA 0.3136     145
Chr1:3042601          Chr1 3042601 3042600       0      NA     NA     NA     NA     NA     NA     NA     000
Chr10:1              Chr10       1   12300   12300      NA     NA     NA     NA     NA     NA     NA     000
Chr10:12301          Chr10   12301   20100    7800      NA     NA 0.6393     NA     NA 0.5267     NA     022
Chr10:20101          Chr10   20101   28500    8400      NA     NA     NA     NA     NA 0.5267     NA     002
Chr10:28501          Chr10   28501  103800   75300      NA     NA     NA     NA     NA     NA     NA     000
Chr10:103801         Chr10  103801  104500     700      NA     NA     NA     NA     NA 0.4540     NA     002
Chr10:104501         Chr10  104501  215600  111100      NA     NA     NA     NA     NA     NA     NA     000
Chr10:215601         Chr10  215601  218300    2700      NA     NA 0.4460     NA     NA 0.5203     NA     022
Chr10:218301         Chr10  218301  812600  594300      NA     NA     NA     NA     NA     NA     NA     000
Chr10:812601         Chr10  812601  814700    2100 0.73727     NA     NA     NA     NA     NA     NA     100
Chr10:814701         Chr10  814701  915300  100600      NA     NA     NA     NA     NA     NA     NA     000
Chr10:915301         Chr10  915301  915800     500      NA     NA     NA     NA     NA 0.2627     NA     002
Chr10:915801         Chr10  915801 1105667  189867      NA     NA     NA     NA     NA     NA     NA     000
Chr10:1105668        Chr10 1105668 1105667       0      NA     NA     NA     NA     NA     NA     NA     000
Chr11a:1            Chr11a       1    1000    1000      NA     NA 0.4982     NA     NA     NA     NA     020
Chr11a:1001         Chr11a    1001    1800     800 0.20438 0.1833 0.4982     NA 0.1578     NA     NA     164
Chr11a:1801         Chr11a    1801    5200    3400      NA     NA 0.4982     NA     NA     NA     NA     020
Chr11a:5201         Chr11a    5201   12100    6900      NA     NA     NA     NA     NA     NA     NA     000
Chr11a:12101        Chr11a   12101   20900    8800 0.55471 0.4179 0.5723     NA 0.3878 0.4342     NA     166
Chr11a:20901        Chr11a   20901   21100     200 0.55471     NA 0.5723     NA 0.3878 0.4342     NA     126
Chr11a:21101        Chr11a   21101   22300    1200 0.55471     NA 0.5723     NA 0.3878     NA     NA     124
Chr11a:22301        Chr11a   22301   40900   18600      NA     NA 0.5723     NA     NA     NA     NA     020
Chr11a:40901        Chr11a   40901   42500    1600      NA     NA 0.5723     NA     NA 0.3054     NA     022
Chr11a:42501        Chr11a   42501   42600     100 0.03648     NA 0.5723 0.0557     NA 0.3054 0.0576     133
Chr11a:42601        Chr11a   42601   44200    1600 0.03648 0.0000 0.5723 0.0557 0.0505 0.3054 0.0576     177
Chr11a:44201        Chr11a   44201   44300     100      NA     NA 0.5723 0.0557 0.0505 0.3054 0.0576     037
Chr11a:44301        Chr11a   44301   45300    1000      NA     NA 0.5723     NA     NA 0.3054     NA     022
Chr11a:45301        Chr11a   45301   50500    5200      NA     NA 0.5723     NA     NA     NA     NA     020
Chr11a:50501        Chr11a   50501   58500    8000      NA     NA 0.5723     NA     NA 0.3292     NA     022
Chr11a:58501        Chr11a   58501   65800    7300      NA     NA     NA     NA     NA     NA     NA     000
Chr11a:65801        Chr11a   65801  148600   82800      NA     NA 0.6222     NA     NA     NA     NA     020
Chr11a:148601       Chr11a  148601  150000    1400      NA     NA 0.6222     NA     NA     NA 0.6883     021
Chr11a:150001       Chr11a  150001  150800     800      NA     NA 0.6222     NA     NA 0.1066 0.6883     023
Chr11a:150801       Chr11a  150801  155200    4400      NA     NA 0.6222     NA     NA     NA 0.6883     021
Chr11a:155201       Chr11a  155201  239300   84100      NA     NA 0.6222     NA     NA     NA     NA     020
Chr11a:239301       Chr11a  239301  240300    1000      NA     NA 0.6222     NA     NA 0.1966     NA     022
Chr11a:240301       Chr11a  240301  253100   12800      NA     NA 0.6222     NA     NA     NA     NA     020
Chr11a:253101       Chr11a  253101  254000     900      NA     NA     NA     NA     NA     NA     NA     000
Chr11a:254001       Chr11a  254001  328400   74400      NA     NA 0.6018     NA     NA     NA     NA     020
Chr11a:328401       Chr11a  328401  328500     100 0.21364     NA 0.6018     NA 0.1885 0.2348     NA     126
Chr11a:328501       Chr11a  328501  329400     900 0.21364 0.1371 0.6018     NA 0.1885 0.2348     NA     166
Chr11a:329401       Chr11a  329401  376100   46700      NA     NA 0.6018     NA     NA     NA     NA     020
Chr11a:376101       Chr11a  376101  564200  188100      NA     NA     NA     NA     NA     NA     NA     000
Chr11a:564201       Chr11a  564201  570700    6500      NA 0.6906     NA     NA     NA     NA     NA     040
Chr11a:570701       Chr11a  570701  738700  168000      NA     NA     NA     NA     NA     NA     NA     000
Chr11a:738701       Chr11a  738701  741600    2900      NA     NA     NA 0.7211     NA     NA     NA     010
Chr11a:741601       Chr11a  741601  806141   64541      NA     NA     NA     NA     NA     NA     NA     000
Chr11a:806142       Chr11a  806142  806141       0      NA     NA     NA     NA     NA     NA     NA     000
Chr11b:1            Chr11b       1    3300    3300 0.59855     NA 0.5063     NA     NA 0.5087     NA     122
Chr11b:3301         Chr11b    3301   11900    8600      NA     NA 0.5063     NA     NA 0.5087     NA     022
Chr11b:11901        Chr11b   11901   82842   70942      NA     NA     NA     NA     NA     NA     NA     000
Chr11b:82843        Chr11b   82843   82842       0      NA     NA     NA     NA     NA     NA     NA     000
Chr12:1              Chr12       1    6400    6400      NA     NA     NA     NA     NA     NA     NA     000
Chr12:6401           Chr12    6401    7600    1200 0.03189 0.0317     NA 0.0244 0.0245     NA 0.0159     155
Chr12:7601           Chr12    7601    8600    1000      NA     NA     NA     NA     NA     NA     NA     000
Chr12:8601           Chr12    8601   10000    1400      NA     NA     NA     NA 0.5626     NA     NA     004
Chr12:10001          Chr12   10001   93900   83900      NA     NA     NA     NA     NA     NA     NA     000
Chr12:93901          Chr12   93901   94300     400      NA     NA     NA     NA     NA 0.1726     NA     002
Chr12:94301          Chr12   94301  145000   50700      NA     NA     NA     NA     NA     NA     NA     000
Chr12:145001         Chr12  145001  145100     100 0.40683     NA     NA     NA     NA 0.4858 0.7121     103
Chr12:145101         Chr12  145101  146200    1100 0.40683 0.3611     NA 0.6433 0.7007 0.4858 0.7121     157
Chr12:146201         Chr12  146201  148300    2100 0.40683 0.3611     NA     NA 0.7007 0.4858 0.7121     147
Chr12:148301         Chr12  148301  148400     100      NA     NA     NA     NA 0.7007     NA 0.7121     005
Chr12:148401         Chr12  148401  149100     700      NA     NA     NA     NA     NA     NA 0.7121     001
Chr12:149101         Chr12  149101  217400   68300      NA     NA     NA     NA     NA     NA     NA     000
Chr12:217401         Chr12  217401  243900   26500 0.68107 0.6785     NA     NA     NA     NA     NA     140
Chr12:243901         Chr12  243901  244700     800 0.68107     NA     NA     NA     NA     NA     NA     100
Chr12:244701         Chr12  244701  549000  304300      NA     NA     NA     NA     NA     NA     NA     000
Chr12:549001         Chr12  549001  549300     300 0.65784     NA     NA     NA     NA     NA 0.6512     101
Chr12:549301         Chr12  549301  551800    2500 0.65784 0.5792     NA     NA     NA     NA 0.6512     141
Chr12:551801         Chr12  551801  552400     600      NA     NA     NA     NA     NA     NA 0.6512     001
Chr12:552401         Chr12  552401  630300   77900      NA     NA     NA     NA     NA     NA     NA     000
Chr12:630301         Chr12  630301  636900    6600      NA 0.7020     NA     NA     NA     NA     NA     040
Chr12:636901         Chr12  636901  680600   43700      NA     NA     NA     NA     NA     NA     NA     000
Chr12:680601         Chr12  680601  680800     200      NA     NA 0.5688     NA     NA     NA     NA     020
Chr12:680801         Chr12  680801  681600     800      NA     NA 0.5688     NA     NA     NA 0.4048     021
Chr12:681601         Chr12  681601  682600    1000      NA     NA 0.5688     NA     NA     NA     NA     020
Chr12:682601         Chr12  682601  684000    1400      NA     NA 0.5688     NA     NA 0.3306     NA     022
Chr12:684001         Chr12  684001  684100     100      NA     NA 0.5688     NA     NA     NA     NA     020
Chr12:684101         Chr12  684101  727700   43600      NA     NA     NA     NA     NA     NA     NA     000
Chr12:727701         Chr12  727701  728200     500      NA     NA 0.2961     NA     NA     NA     NA     020
Chr12:728201         Chr12  728201  733500    5300      NA     NA 0.2961     NA     NA 0.2762     NA     022
Chr12:733501         Chr12  733501  744800   11300      NA     NA     NA     NA     NA     NA     NA     000
Chr12:744801         Chr12  744801  746700    1900      NA     NA     NA     NA     NA 0.4354     NA     002
Chr12:746701         Chr12  746701  870500  123800      NA     NA     NA     NA     NA     NA     NA     000
Chr12:870501         Chr12  870501  871400     900      NA     NA     NA     NA     NA 0.5129     NA     002
Chr12:871401         Chr12  871401 1088600  217200      NA     NA     NA     NA     NA     NA     NA     000
Chr12:1088601        Chr12 1088601 1093900    5300      NA     NA 0.7081     NA     NA     NA     NA     020
Chr12:1093901        Chr12 1093901 1118500   24600      NA     NA     NA     NA     NA     NA     NA     000
Chr12:1118501        Chr12 1118501 1124700    6200      NA     NA 0.5768     NA     NA     NA     NA     020
Chr12:1124701        Chr12 1124701 1128381    3681      NA     NA     NA     NA     NA     NA     NA     000
Chr12:1128382        Chr12 1128382 1128381       0      NA     NA     NA     NA     NA     NA     NA     000
Chr13:1              Chr13       1   12100   12100      NA     NA     NA     NA     NA     NA     NA     000
Chr13:12101          Chr13   12101   17800    5700      NA     NA     NA     NA     NA 0.5671     NA     002
Chr13:17801          Chr13   17801  101900   84100      NA     NA     NA     NA     NA     NA     NA     000
Chr13:101901         Chr13  101901  103500    1600      NA     NA     NA     NA     NA 0.5101     NA     002
Chr13:103501         Chr13  103501  550200  446700      NA     NA     NA     NA     NA     NA     NA     000
Chr13:550201         Chr13  550201  551600    1400      NA     NA     NA     NA     NA 0.4222     NA     002
Chr13:551601         Chr13  551601  660700  109100      NA     NA     NA     NA     NA     NA     NA     000
Chr13:660701         Chr13  660701  810700  150000      NA     NA 0.6159     NA     NA     NA     NA     020
Chr13:810701         Chr13  810701  811800    1100      NA     NA     NA     NA     NA     NA     NA     000
Chr13:811801         Chr13  811801  952100  140300      NA     NA 0.6402     NA     NA     NA     NA     020
Chr13:952101         Chr13  952101  956400    4300      NA     NA 0.6402     NA     NA 0.1781     NA     022
Chr13:956401         Chr13  956401  991800   35400      NA     NA 0.6402     NA     NA     NA     NA     020
Chr13:991801         Chr13  991801 1007700   15900      NA     NA     NA     NA     NA     NA     NA     000
Chr13:1007701        Chr13 1007701 1009000    1300      NA     NA 0.4165     NA     NA     NA     NA     020
